Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
ITUB3;ITAUUNIBANCO;ON   N1;ITUB3.SA;Não;Ação
ITUB4;ITAUUNIBANCO;PN   N1;ITUB4.SA;Sim;Ação
JALL3;JALLESMACHAD;ON   NM;JALL3.SA;Não;Ação
JBSS3;JBS;ON   NM;JBSS3.SA;Sim;Ação
JHSF3;JHSF PART;ON   NM;JHSF3.SA;Não;Ação
JSLG3;JSL;ON   NM;JSLG3.SA;Não;Ação
KEPL3;KEPLER WEBER;ON;KEPL3.SA;Não;Ação
KLBN11;KLABIN S/A;UNT  N2;KLBN11.SA;Sim;Ação
KRSA3;KORA SAUDE;ON   NM;KRSA3.SA;Não;Ação
LAVV3;LAVVI;ON   NM;LAVV3.SA;Não;Ação
LIGT3;LIGHT S/A;ON   NM;LIGT3.SA;Não;Ação
RENT3;LOCALIZA;ON   NM;RENT3.SA;Sim;Ação
LWSA3;LOCAWEB;ON   NM;LWSA3.SA;Sim;Ação
LOGG3;LOG COM PROP;ON   NM;LOGG3.SA;Não;Ação
LOGN3;LOG-IN;ON   NM;LOGN3.SA;Não;Ação
AMAR3;LOJAS MARISA;ON   NM;AMAR3.SA;Não;Ação
LREN3;LOJAS RENNER;ON   NM;LREN3.SA;Sim;Ação
LPSB3;LOPES BRASIL;ON   NM;LPSB3.SA;Não;Ação
MDIA3;M.DIASBRANCO;ON   NM;MDIA3.SA;Não;Ação
MGLU3;MAGAZ LUIZA;ON   NM;MGLU3.SA;Sim;Ação
POMO3;MARCOPOLO;ON   N2;POMO3.SA;Não;Ação
POMO4;MARCOPOLO;PN   N2;POMO4.SA;Não;Ação
MRFG3;MARFRIG;ON   NM;MRFG3.SA;Sim;Ação
MATD3;MATER DEI;ON   NM;MATD3.SA;Não;Ação
CASH3;MELIUZ;ON   NM;CASH3.SA;Sim;Ação
MELK3;MELNICK;ON   NM;MELK3.SA;Não;Ação
MELI34;MERCADOLIBRE;DRN;MELI34.SA;Não;Ação
M1TA34;META PLAT;DRN;M1TA34.SA;Não;Ação
LEVE3;METAL LEVE;ON   NM;LEVE3.SA;Não;Ação
MSFT34;MICROSOFT;DRN;MSFT34.SA;Não;Ação
